Allen;2016-01;20000
Allen;2016-02;20036
Allen;2016-03;20085
Allen;2016-04;20143
Allen;2016-05;20187
Allen;2016-06;20227
Allen;2016-07;20264
Allen;2016-08;20322
Allen;2016-09;20372
Allen;2016-10;20408
Allen;2016-11;20463
Allen;2016-12;20511
Allen;2017-01;20564
Allen;2017-02;20605
Allen;2017-03;20646
Allen;2017-04;20700
Allen;2017-05;20751
Allen;2017-06;20785
Allen;2017-07;20823
Allen;2017-08;20877
Allen;2017-09;20910
Allen;2017-10;20962
Allen;2017-11;21013
Allen;2017-12;21046
Allen;2018-01;21101
Allen;2018-02;21144
Allen;2018-03;21205
Allen;2018-04;21242
Allen;2018-05;21275
Allen;2018-06;21334
Allen;2018-07;21386
Allen;2018-08;21418
Allen;2018-09;21461
Allen;2018-10;21518
Allen;2018-11;21572
Allen;2018-12;21633
Allen;2019-01;21677
Allen;2019-02;21734
Allen;2019-03;21783
Allen;2019-04;21842
Allen;2019-05;21901
Allen;2019-06;21943
Allen;2019-07;22003
Allen;2019-08;22064
Allen;2019-09;22113
Allen;2019-10;22161
Allen;2019-11;22224
Allen;2019-12;22287
Allen;2020-01;22335
Allen;2020-02;22398
Allen;2020-03;22450
Allen;2020-04;22495
Allen;2020-05;22551
Allen;2020-06;22605
Allen;2020-07;22664
Allen;2020-08;22701
Allen;2020-09;22740
Allen;2020-10;22793
Allen;2020-11;22834
Allen;2020-12;22889
Allen;2021-01;22932
Allen;2021-02;22973
Allen;2021-03;23025
Allen;2021-04;23064
Allen;2021-05;23124
Allen;2021-06;23187
Allen;2021-07;23236
Allen;2021-08;23289
Allen;2021-09;23350
Allen;2021-10;23394
Allen;2021-11;23455
Allen;2021-12;23511
Allen;2022-01;23549
Allen;2022-02;23605
Allen;2022-03;23669
Allen;2022-04;23720
Allen;2022-05;23784
Allen;2022-06;23827
Allen;2022-07;23875
Allen;2022-08;23940
Allen;2022-09;23984
Allen;2022-10;24035
Allen;2022-11;24075
Allen;2022-12;24126
Allen;2023-01;24180
Allen;2023-02;24221
Allen;2023-03;24276
Allen;2023-04;24321
Allen;2023-05;24362
Allen;2023-06;24401
Allen;2023-07;24468
Allen;2023-08;24511
Allen;2023-09;24571
Allen;2023-10;24619
Allen;2023-11;24661
Allen;2023-12;24721
Allen;2024-01;24788
Allen;2024-02;24844
Allen;2024-03;24908
Allen;2024-04;24958
Allen;2024-05;24998
Allen;2024-06;25046
Allen;2024-07;25115
Allen;2024-08;25158
Allen;2024-09;25211
Allen;2024-10;25266
Allen;2024-11;25320
Allen;2024-12;25367
Allen;2025-01;25420
Allen;2025-02;25482
Allen;2025-03;25549
Allen;2025-04;25614
Allen;2025-05;25684
Allen;2025-06;25732
Allen;2025-07;25793
Bariloche;2016-01;130000
Bariloche;2016-02;130352
Bariloche;2016-03;130675
Bariloche;2016-04;131001
Bariloche;2016-05;131362
Bariloche;2016-06;131705
Bariloche;2016-07;132037
Bariloche;2016-08;132356
Bariloche;2016-09;132705
Bariloche;2016-10;133075
Bariloche;2016-11;133390
Bariloche;2016-12;133698
Bariloche;2017-01;134014
Bariloche;2017-02;134386
Bariloche;2017-03;134706
